ObjectID,Artist,Nationality,Gender,Department,DateAcquired
94681,Irving Penn,American,Male,Photography,2005
94682,Irving Penn,American,Male,Photography,2005
94683,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94684,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94685,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94686,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94687,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94688,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94689,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94690,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94691,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94692,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94693,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94694,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94695,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94696,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94697,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94698,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94699,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94700,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94701,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94702,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94703,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94704,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94705,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94706,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94707,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94708,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94709,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94710,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94711,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94712,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94713,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94714,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94715,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94716,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94717,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94718,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94719,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94720,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94721,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94722,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94723,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94724,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94725,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94726,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94727,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94728,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94729,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94730,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94731,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94732,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94733,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94734,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94735,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94736,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94737,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94738,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94739,Jean Dubuffet,French,Male,Prints & Illustrated Books,1965
94740,Richard Avedon,American,Male,Photography,2005
94742,Tomoko Sawada,Japanese,Female,Photography,2005
94743,Lygia Clark,Brazilian,Female,Drawings,2005
94744,Lygia Clark,Brazilian,Female,Drawings,2005
94745,Lygia Clark,Brazilian,Female,Drawings,2005
94746,Lygia Clark,Brazilian,Female,Drawings,2005
94747,Lygia Clark,Brazilian,Female,Drawings,2005
94748,Lygia Clark,Brazilian,Female,Drawings,2005
94749,Mira Schendel,Brazilian,Female,Drawings,2005
94750,Mira Schendel,Brazilian,Female,Drawings,2005
94751,Mira Schendel,Brazilian,Female,Drawings,2005
94752,Mira Schendel,Brazilian,Female,Drawings,2005
94753,Mira Schendel,Brazilian,Female,Drawings,2005
94754,Mira Schendel,Brazilian,Female,Drawings,2005
94755,Mira Schendel,Brazilian,Female,Drawings,2005
94756,Mira Schendel,Brazilian,Female,Drawings,2005
94757,Mira Schendel,Brazilian,Female,Drawings,2005
94766,Wangechi Mutu,Kenyan,Female,Drawings,2005
94767,Mark Grotjahn,American,Male,Drawings,2005
94768,Thomas Hirschhorn,Swiss,Male,Drawings,2005
94769,Dave Muller,American,Male,Drawings,2005
94770,Neo Rauch,German,Male,Drawings,2005
94771,Brice Marden,American,Male,Drawings,2005
94774,Hella Jongerius,Dutch,Female,Architecture & Design,2005
94775,Hella Jongerius,Dutch,Female,Architecture & Design,2005
94776,Hella Jongerius,Dutch,Female,Architecture & Design,2005
94777,Hella Jongerius,Dutch,Female,Architecture & Design,2005
94778,"Fernando Campana, Humberto Campana",Brazilian Brazilian,(Male) (Male),Architecture & Design,2005
94790,Johannes Kahrs,German,Male,Drawings,2005
94792,Mark Grotjahn,American,Male,Drawings,2005
94793,An-My Lê,American,Female,Photography,2005
94794,An-My Lê,American,Female,Photography,2005
94795,Guy Bourdin,French,Male,Photography,2005
94796,Guy Bourdin,French,Male,Photography,2005
94797,Guy Bourdin,French,Male,Photography,2005
94798,Paris Observatory,unknown,unknown,Photography,2005
94799,Paris Observatory,unknown,unknown,Photography,2005
94902,Peter Doig,British,Male,Drawings,2005
94904,Mark Dion,American,Male,Drawings,2005
94905,Mark Dion,American,Male,Drawings,2005
94906,Mark Dion,American,Male,Drawings,2005
94907,Mark Dion,American,Male,Drawings,2005
94952,Richard Dupont,American,Male,Painting & Sculpture,2005
94953,Thomas Scheibitz,German,Male,Painting & Sculpture,2005
94954,Christopher Wilmarth,American,Male,Painting & Sculpture,2005
94957,Timo Sarpaneva,Finnish,Male,Architecture & Design,2005
94958,Russel Wright,American,Male,Architecture & Design,2005
94960,"Stephanie Forsythe, Todd MacAllen",Canadian Canadian,(Female) (Male),Architecture & Design,2005
94991,Mira Schendel,Brazilian,Female,Painting & Sculpture,2005
95092,"Foreign Office Architects (FOA), London, Farshid Moussavi, Alejandro Zaera-Polo", Iranian Spanish,() (Female) (Male),Architecture & Design,2005
95093,"Foreign Office Architects (FOA), London, Farshid Moussavi, Alejandro Zaera-Polo", Iranian Spanish,() (Female) (Male),Architecture & Design,2005
95094,Lionel Theodore Dean,British,Male,Architecture & Design,2005
95114,Paul Edmunds,South African,Male,Prints & Illustrated Books,2005
95115,Lisa Fromartz,American,Female,Prints & Illustrated Books,2005
95117,Sue Williamson,South African,Female,Prints & Illustrated Books,2005
95118,Frank Gohlke,American,Male,Photography,2005
95129,Frank Gohlke,American,Male,Photography,2005
